INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
RR,Rolls-Royce Holdings plc,50,5%,-0.000709,-0.000473,7:00 am to 3:30 pm
RSAInsurance,RSA Insurance Group plc,100,5%,-0.000509,-0.000339,7:00 am to 3:30 pm
RusHydro,Federal Hydro-Generating Co RusHydro PAO,10000,20%,-0.000305,0.000192,7:00 am to 3:30 pm
RWE,RWE AG St,20,5%,-0.001176,-0.001175,7:00 am to 3:30 pm
Ryanair,Ryanair Holdings Plc,15,10%,-0.001176,-0.001175,7:00 am to 3:30 pm
Sampo,Sampo Oyj,10,5%,-0.003123,-0.00312,7:00 am to 3:30 pm
SAN,SANOFI SA,5,5%,-0.006136,-0.006131,7:00 am to 3:30 pm
SAP,SAP AG,10,5%,-0.006539,-0.006533,7:00 am to 3:30 pm
Saputo,Saputo Inc,10,5%,-0.003644,-0.002429,1:30 pm to 8:00 pm
Sberbank,Sberbank Rossii OAO,100,20%,-0.063279,0.039843,7:00 am to 3:30 pm
SBUX,Starbucks Corporation,5,5%,-0.005963,-0.002555,1:30 pm to 8:00 pm
SDF,K+S Aktiengesellschaft,20,5%,-0.00165,-0.001649,7:00 am to 3:30 pm
Seven,Seven & I Holdings Co.; Ltd.,10,5%,-0.345114,-0.318567,11:05 pm to 5:00 am
Severstal,Severstal PAO,8,20%,-0.277594,0.174781,7:00 am to 3:30 pm
SFER,FERRAGAMO,20,5%,-0.001989,-0.001987,7:00 am to 3:25 pm
SGO,SAINT GOBAIN SA,10,5%,-0.003496,-0.003493,7:00 am to 3:30 pm
ShawCommunications,Shaw Communications Inc,15,5%,-0.002387,-0.001591,1:30 pm to 8:00 pm
Shell,Royal Dutch Shell Plc,10,5%,-0.001718,-0.001717,7:00 am to 3:30 pm
Shire,Shire plc,5,5%,-0.004041,-0.002694,7:00 am to 3:30 pm
SIE,Siemens AG,5,5%,-0.008888,-0.00888,7:00 am to 3:30 pm
SKY,SKY plc,40,5%,-0.000837,-0.000558,7:00 am to 3:30 pm
SL,Standard Life plc,150,5%,-0.00032,-0.000213,7:00 am to 3:30 pm
SmithNephew,Smith & Nephew plc,30,5%,-0.001104,-0.000736,7:00 am to 3:30 pm
SnapChat,Snap Inc.,10,5%,-0.001939,-0.000831,1:30 pm to 8:00 pm
Softbank,Softbank Corp,5,5%,-0.604572,-0.558067,11:05 pm to 5:00 am
Sony,Sony Corporation,20,5%,-0.284086,-0.262233,11:05 pm to 5:00 am
SouthwestAir,Southwest Airlines Co,5,10%,-0.005642,-0.002418,1:30 pm to 8:00 pm
SPD,Sports Direct International plc,40,5%,-0.000249,-0.000166,7:00 am to 3:30 pm
SPLS,Staples; Inc.,40,5%,-0.000846,-0.000363,1:30 pm to 8:00 pm
SPM,SAIPEM,30,5%,-0.000027,-0.000027,7:00 am to 3:25 pm
SRG,SNAM,100,10%,-0.000299,-0.000299,7:00 am to 3:25 pm
SSE,SSE plc,25,5%,-0.001255,-0.000836,7:00 am to 3:30 pm
STAN,Standard Chartered plc,40,5%,-0.000613,-0.000409,7:00 am to 3:30 pm
Statoil,Statoil ASA,10,5%,-0.01275,-0.0085,7:00 am to 2:20 pm
STM.IT,STMICROELECTRONICS,50,5%,-0.00102,-0.001019,7:00 am to 3:25 pm
StoraEnso,Stora Enso Oyj,50,5%,-0.000778,-0.000777,7:00 am to 3:30 pm
STX,Seagate Technology,10,5%,-0.004133,-0.001771,1:30 pm to 8:00 pm
SU,SCHNEIDER ELECTRIC SA,10,5%,-0.00475,-0.004746,7:00 am to 3:30 pm
Sumitomo,Sumitomo Mitsui Financial Group Inc.,10,5%,-0.293944,-0.271333,11:05 pm to 5:00 am
Suncor,Suncor Energy Inc,10,5%,-0.003608,-0.002405,1:30 pm to 8:00 pm
Suncorp,Suncorp Group Ltd,25,5%,-0.001652,-0.000292,12:03 am to 6:00 am
SunLife,Sun Life Financial Inc,10,5%,-0.003737,-0.002492,1:30 pm to 8:00 pm
Surgutneftegas,Surgutneftegas OAO,200,20%,-0.010264,0.006462,7:00 am to 3:30 pm
Suzuki,Suzuki Motor Corporation,15,5%,-0.373353,-0.344633,11:05 pm to 5:00 am
Swatch,The Swatch Group SA,1,5%,-0.021622,-0.032433,7:00 am to 3:20 pm
Swedbank,Swedbank AB,15,5%,-0.014356,-0.014241,7:00 am to 3:25 pm
Swisscom,Swisscom AG,1,5%,-0.025286,-0.03793,7:00 am to 3:20 pm
SwissRe,Swiss Re AG,4,5%,-0.004888,-0.007331,7:00 am to 3:20 pm
Syngenta,Syngenta AG,1,5%,-0.02516,-0.03774,7:00 am to 3:20 pm
Synthos,Synthos S.A.,200,10%,-0.000549,-0.000137,7:00 am to 2:45 pm
T,AT&T Corp,15,5%,-0.003718,-0.001593,1:30 pm to 8:00 pm
Takeda,Takeda Pharmaceutical Co Ltd,10,5%,-0.413328,-0.381533,11:05 pm to 5:00 am
Tatneft,Tatneft' OAO,20,20%,-0.14808,0.093236,7:00 am to 3:30 pm
TAURON,TAURON Polska Energia SA,200,10%,-0.000369,-0.000092,7:00 am to 2:45 pm
TeckResources,Teck Resources Ltd,10,5%,-0.002106,-0.001404,1:30 pm to 8:00 pm
Telefonica,Telefonica SA,20,5%,-0.000689,-0.000689,7:00 am to 3:30 pm
TelekomAustria,Telekom Austria AG,100,5%,-0.000497,-0.000497,7:00 am to 3:30 pm
Telenor,Telenor ASA,20,5%,-0.011083,-0.007389,7:00 am to 2:20 pm
TeliaSonera,TeliaSonera AB,50,5%,-0.002676,-0.002654,7:00 am to 3:25 pm
Telstra,Telstra Corporation Ltd,100,5%,-0.000524,-0.000092,12:03 am to 6:00 am
Telus,Telus Corp,10,5%,-0.003805,-0.002537,1:30 pm to 8:00 pm
TEN,TENARIS,30,5%,-0.001004,-0.001003,7:00 am to 3:25 pm
TEVA,Teva Pharmaceutical Industries Limited,10,5%,-0.002905,-0.001245,1:30 pm to 8:00 pm
TimeWarner,Time Warner Inc,5,5%,-0.009495,-0.004069,1:30 pm to 8:00 pm
TIT,TELECOM ITALIA,1,5%,-0.000061,-0.000061,7:00 am to 3:25 pm
TKA,ThyssenKrupp AG,25,5%,-0.001606,-0.001605,7:00 am to 3:30 pm
TOD,TODS,5,5%,-0.004434,-0.004431,7:00 am to 3:25 pm
